taxonomy_id,sector,category,subcategory
TX0296,LogisticsShipping,Shipping,Container Case Study
TX0297,LogisticsShipping,Logistics,Last Mile
TX0298,LogisticsShipping,Logistics,Warehouse
TX0299,LogisticsShipping,Logistics,Air Cargo
TX0300,LogisticsShipping,Logistics,Cold Chain
TX0301,LogisticsShipping,Logistics,Last Mile Trend
TX0302,LogisticsShipping,Logistics,Last Mile Market
TX0303,LogisticsShipping,Logistics,Last Mile Strategy
TX0304,LogisticsShipping,Logistics,Last Mile Case Study
TX0305,LogisticsShipping,Trade Route,Suez
TX0306,LogisticsShipping,Trade Route,Red Sea
TX0307,LogisticsShipping,Trade Route,Hormuz
TX0308,LogisticsShipping,Trade Route,Geopolitical Route
TX0309,LogisticsShipping,Trade Route,Suez Trend
TX0310,LogisticsShipping,Trade Route,Suez Market
TX0311,LogisticsShipping,Trade Route,Suez Strategy
TX0312,LogisticsShipping,Trade Route,Suez Case Study
TX0313,TravelLeisure,Travel,Package Tour
TX0314,TravelLeisure,Travel,Inbound
TX0315,TravelLeisure,Travel,Outbound
TX0316,TravelLeisure,Travel,Travel Platform
TX0317,TravelLeisure,Travel,Package Tour Trend
TX0318,TravelLeisure,Travel,Package Tour Market
TX0319,TravelLeisure,Travel,Package Tour Strategy
TX0320,TravelLeisure,Travel,Package Tour Case Study
TX0321,TravelLeisure,Leisure,Theme Park
TX0322,TravelLeisure,Leisure,Resort
TX0323,TravelLeisure,Leisure,Hotel
TX0324,TravelLeisure,Leisure,Cruise
TX0325,TravelLeisure,Leisure,Theme Park Trend
TX0326,TravelLeisure,Leisure,Theme Park Market
TX0327,TravelLeisure,Leisure,Theme Park Strategy
TX0328,TravelLeisure,Leisure,Theme Park Case Study
TX0329,TravelLeisure,Experience,Cultural Travel
TX0330,TravelLeisure,Experience,Food Travel
TX0331,TravelLeisure,Experience,Sports Travel
TX0332,TravelLeisure,Experience,Wellness Travel
TX0333,TravelLeisure,Experience,Cultural Travel Trend
TX0334,TravelLeisure,Experience,Cultural Travel Market
TX0335,TravelLeisure,Experience,Cultural Travel Strategy
TX0336,TravelLeisure,Experience,Cultural Travel Case Study
TX0337,AgricultureFoodSupply,Agriculture,Smart Farm
TX0338,AgricultureFoodSupply,Agriculture,Seed
TX0339,AgricultureFoodSupply,Agriculture,Fertilizer
TX0340,AgricultureFoodSupply,Agriculture,Agri Robotics
TX0341,AgricultureFoodSupply,Agriculture,Smart Farm Trend
TX0342,AgricultureFoodSupply,Agriculture,Smart Farm Market
TX0343,AgricultureFoodSupply,Agriculture,Smart Farm Strategy
TX0344,AgricultureFoodSupply,Agriculture,Smart Farm Case Study
TX0345,AgricultureFoodSupply,Food Supply,Cold Storage
TX0346,AgricultureFoodSupply,Food Supply,Food Distribution
TX0347,AgricultureFoodSupply,Food Supply,Meal Kit
TX0348,AgricultureFoodSupply,Food Supply,Food Safety
TX0349,AgricultureFoodSupply,Food Supply,Cold Storage Trend
TX0350,AgricultureFoodSupply,Food Supply,Cold Storage Market
TX0351,AgricultureFoodSupply,Food Supply,Cold Storage Strategy
TX0352,AgricultureFoodSupply,Food Supply,Cold Storage Case Study
TX0353,AgricultureFoodSupply,Alt Food,Plant-Based
TX0354,AgricultureFoodSupply,Alt Food,Cultivated Meat
TX0355,AgricultureFoodSupply,Alt Food,FoodTech
TX0356,AgricultureFoodSupply,Alt Food,Protein
TX0357,AgricultureFoodSupply,Alt Food,Plant-Based Trend
TX0358,AgricultureFoodSupply,Alt Food,Plant-Based Market
TX0359,AgricultureFoodSupply,Alt Food,Plant-Based Strategy
TX0360,AgricultureFoodSupply,Alt Food,Plant-Based Case Study
TX0361,ChemicalsMaterials,Chemical,Basic Chemical
TX0362,ChemicalsMaterials,Chemical,Specialty
TX0363,ChemicalsMaterials,Chemical,Industrial Gas
TX0364,ChemicalsMaterials,Chemical,Fine Chemical
TX0365,ChemicalsMaterials,Chemical,Basic Chemical Trend
TX0366,ChemicalsMaterials,Chemical,Basic Chemical Market
TX0367,ChemicalsMaterials,Chemical,Basic Chemical Strategy
TX0368,ChemicalsMaterials,Chemical,Basic Chemical Case Study
TX0369,ChemicalsMaterials,Advanced Material,Carbon Fiber
TX0370,ChemicalsMaterials,Advanced Material,Display Material
TX0371,ChemicalsMaterials,Advanced Material,Battery Material
TX0372,ChemicalsMaterials,Advanced Material,Bio Material
TX0373,ChemicalsMaterials,Advanced Material,Carbon Fiber Trend
TX0374,ChemicalsMaterials,Advanced Material,Carbon Fiber Market
TX0375,ChemicalsMaterials,Advanced Material,Carbon Fiber Strategy
TX0376,ChemicalsMaterials,Advanced Material,Carbon Fiber Case Study
TX0377,ChemicalsMaterials,Circular,Recycling
TX0378,ChemicalsMaterials,Circular,Waste Upcycling
TX0379,ChemicalsMaterials,Circular,Bioplastic
TX0380,ChemicalsMaterials,Circular,ESG Material
TX0381,ChemicalsMaterials,Circular,Recycling Trend
TX0382,ChemicalsMaterials,Circular,Recycling Market
TX0383,ChemicalsMaterials,Circular,Recycling Strategy
TX0384,ChemicalsMaterials,Circular,Recycling Case Study
TX0385,RealEstate,Commercial,Office
TX0386,RealEstate,Commercial,Retail Mall
TX0387,RealEstate,Commercial,Data Center RE
TX0388,RealEstate,Commercial,Logistics Center
TX0389,RealEstate,Commercial,Office Trend
TX0390,RealEstate,Commercial,Office Market
TX0391,RealEstate,Commercial,Office Strategy
TX0392,RealEstate,Commercial,Office Case Study
TX0393,RealEstate,Residential,Apartment Lease
TX0394,RealEstate,Residential,Urban Housing
TX0395,RealEstate,Residential,Senior Housing
TX0396,RealEstate,Residential,Student Housing
TX0397,RealEstate,Residential,Apartment Lease Trend
TX0398,RealEstate,Residential,Apartment Lease Market
TX0399,RealEstate,Residential,Apartment Lease Strategy
TX0400,RealEstate,Residential,Apartment Lease Case Study
TX0401,RealEstate,Investment,REIT
TX0402,RealEstate,Investment,Property Fund
TX0403,RealEstate,Investment,Asset Management
TX0404,RealEstate,Investment,NPL
TX0405,RealEstate,Investment,REIT Trend
TX0406,RealEstate,Investment,REIT Market
TX0407,RealEstate,Investment,REIT Strategy
TX0408,RealEstate,Investment,REIT Case Study
TX0409,ClimateEnvironment,Climate Tech,Carbon Accounting
TX0410,ClimateEnvironment,Climate Tech,Carbon Credit
TX0411,ClimateEnvironment,Climate Tech,Decarbonization
TX0412,ClimateEnvironment,Climate Tech,Climate Risk
TX0413,ClimateEnvironment,Climate Tech,Carbon Accounting Trend
TX0414,ClimateEnvironment,Climate Tech,Carbon Accounting Market
TX0415,ClimateEnvironment,Climate Tech,Carbon Accounting Strategy
TX0416,ClimateEnvironment,Climate Tech,Carbon Accounting Case Study
TX0417,ClimateEnvironment,Environment,Waste Management
TX0418,ClimateEnvironment,Environment,Water Treatment
TX0419,ClimateEnvironment,Environment,Air Quality
TX0420,ClimateEnvironment,Environment,Soil
TX0421,ClimateEnvironment,Environment,Waste Management Trend
TX0422,ClimateEnvironment,Environment,Waste Management Market
TX0423,ClimateEnvironment,Environment,Waste Management Strategy
TX0424,ClimateEnvironment,Environment,Waste Management Case Study
TX0425,ClimateEnvironment,Green Infrastructure,Smart Grid
TX0426,ClimateEnvironment,Green Infrastructure,Green Building
TX0427,ClimateEnvironment,Green Infrastructure,Circular City
TX0428,ClimateEnvironment,Green Infrastructure,Eco Mobility
TX0429,ClimateEnvironment,Green Infrastructure,Smart Grid Trend
TX0430,ClimateEnvironment,Green Infrastructure,Smart Grid Market
TX0431,ClimateEnvironment,Green Infrastructure,Smart Grid Strategy
TX0432,ClimateEnvironment,Green Infrastructure,Smart Grid Case Study
TX0433,LuxuryFashion,Luxury,Luxury Brand
TX0434,LuxuryFashion,Luxury,Flagship Store
TX0435,LuxuryFashion,Luxury,Visual Merchandising
TX0436,LuxuryFashion,Luxury,Store Experience
TX0437,LuxuryFashion,Luxury,Luxury Brand Trend
TX0438,LuxuryFashion,Luxury,Luxury Brand Market
TX0439,LuxuryFashion,Luxury,Luxury Brand Strategy
TX0440,LuxuryFashion,Luxury,Luxury Brand Case Study
TX0441,LuxuryFashion,Fashion,Apparel
TX0442,LuxuryFashion,Fashion,Footwear
TX0443,LuxuryFashion,Fashion,Accessory
TX0444,LuxuryFashion,Fashion,DTC Fashion
TX0445,LuxuryFashion,Fashion,Apparel Trend
TX0446,LuxuryFashion,Fashion,Apparel Market
TX0447,LuxuryFashion,Fashion,Apparel Strategy
TX0448,LuxuryFashion,Fashion,Apparel Case Study
TX0449,LuxuryFashion,Craft,Leather
TX0450,LuxuryFashion,Craft,Jewelry
TX0451,LuxuryFashion,Craft,Watch
TX0452,LuxuryFashion,Craft,Perfume
TX0453,LuxuryFashion,Craft,Leather Trend
TX0454,LuxuryFashion,Craft,Leather Market
TX0455,LuxuryFashion,Craft,Leather Strategy
TX0456,LuxuryFashion,Craft,Leather Case Study
TX0457,PublicPolicy,Regulation,Tax Policy
TX0458,PublicPolicy,Regulation,Education Policy
TX0459,PublicPolicy,Regulation,Housing Policy
TX0460,PublicPolicy,Regulation,Healthcare Policy
TX0461,PublicPolicy,Regulation,Tax Policy Trend
TX0462,PublicPolicy,Regulation,Tax Policy Market
TX0463,PublicPolicy,Regulation,Tax Policy Strategy
TX0464,PublicPolicy,Regulation,Tax Policy Case Study
TX0465,PublicPolicy,Macro,Inflation
TX0466,PublicPolicy,Macro,Employment
TX0467,PublicPolicy,Macro,Trade
TX0468,PublicPolicy,Macro,Demographics
TX0469,PublicPolicy,Macro,Inflation Trend
TX0470,PublicPolicy,Macro,Inflation Market
TX0471,PublicPolicy,Macro,Inflation Strategy
TX0472,PublicPolicy,Macro,Inflation Case Study
TX0473,PublicPolicy,Governance,Election
TX0474,PublicPolicy,Governance,Public Finance
TX0475,PublicPolicy,Governance,Local Government
TX0476,PublicPolicy,Governance,Public Procurement
TX0477,PublicPolicy,Governance,Election Trend
TX0478,PublicPolicy,Governance,Election Market
TX0479,PublicPolicy,Governance,Election Strategy
TX0480,PublicPolicy,Governance,Election Case Study
TX0481,DigitalAssets,Crypto Market,Bitcoin
TX0482,DigitalAssets,Crypto Market,Ethereum
TX0483,DigitalAssets,Crypto Market,Altcoin
TX0484,DigitalAssets,Crypto Market,Stablecoin
TX0485,DigitalAssets,Crypto Market,Bitcoin Trend
TX0486,DigitalAssets,Crypto Market,Bitcoin Market
TX0487,DigitalAssets,Crypto Market,Bitcoin Strategy
TX0488,DigitalAssets,Crypto Market,Bitcoin Case Study
TX0489,DigitalAssets,Blockchain Infra,Layer1
TX0490,DigitalAssets,Blockchain Infra,Layer2
TX0491,DigitalAssets,Blockchain Infra,Validator
TX0492,DigitalAssets,Blockchain Infra,Custody
TX0493,DigitalAssets,Blockchain Infra,Layer1 Trend
TX0494,DigitalAssets,Blockchain Infra,Layer1 Market
TX0495,DigitalAssets,Blockchain Infra,Layer1 Strategy
TX0496,DigitalAssets,Blockchain Infra,Layer1 Case Study
TX0497,DigitalAssets,Crypto Finance,Spot ETF
TX0498,DigitalAssets,Crypto Finance,Exchange
TX0499,DigitalAssets,Crypto Finance,On-chain Data
TX0500,DigitalAssets,Crypto Finance,Tokenization
TX0501,DigitalAssets,Crypto Finance,Spot ETF Trend
TX0502,DigitalAssets,Crypto Finance,Spot ETF Market
TX0503,DigitalAssets,Crypto Finance,Spot ETF Strategy
TX0504,DigitalAssets,Crypto Finance,Spot ETF Case Study
TX0505,CyberSecurity,Threat,Hacking
TX0506,CyberSecurity,Threat,Backdoor
TX0507,CyberSecurity,Threat,Ransomware
TX0508,CyberSecurity,Threat,Zero Day
TX0509,CyberSecurity,Threat,Hacking Trend
TX0510,CyberSecurity,Threat,Hacking Market
TX0511,CyberSecurity,Threat,Hacking Strategy
TX0512,CyberSecurity,Threat,Hacking Case Study
TX0513,CyberSecurity,Security Stack,Endpoint Security
TX0514,CyberSecurity,Security Stack,Network Security
TX0515,CyberSecurity,Security Stack,Cloud Security
TX0516,CyberSecurity,Security Stack,Identity Security
TX0517,CyberSecurity,Security Stack,Endpoint Security Trend
TX0518,CyberSecurity,Security Stack,Endpoint Security Market
TX0519,CyberSecurity,Security Stack,Endpoint Security Strategy
TX0520,CyberSecurity,Security Stack,Endpoint Security Case Study
TX0521,CyberSecurity,Policy & Response,Incident Response
TX0522,CyberSecurity,Policy & Response,Cyber Drill
TX0523,CyberSecurity,Policy & Response,Compliance
TX0524,CyberSecurity,Policy & Response,Security Audit
TX0525,CyberSecurity,Policy & Response,Incident Response Trend
TX0526,CyberSecurity,Policy & Response,Incident Response Market
TX0527,CyberSecurity,Policy & Response,Incident Response Strategy
TX0528,CyberSecurity,Policy & Response,Incident Response Case Study
